mse:0.3507868954750745, mae:0.3792322016187325
mse:0.3681976928877296, mae:0.3909685321658818
mse:0.38737048896253645, mae:0.4045522818124487
mse:0.4228475569676952, mae:0.42487442425928895
mse:0.44364351942974556, mae:0.43660871408029134
mse:0.4996780963215706, mae:0.4652032799711396

mse:0.23864651244150806, mae:0.3037353893587457
mse:0.2820870439170857, mae:0.3342949400946694
mse:0.305047599471022, mae:0.3478966627183038
mse:0.3607784058758496, mae:0.3803357503189412
mse:0.3927267408583766, mae:0.39743428010397924
mse:0.44252386800432486, mae:0.4368615394959515

mse:0.5344369836605531, mae:0.45177775720123176
mse:0.48962782220409806, mae:0.4356022656031577
mse:0.4363663556982704, mae:0.41097242799838213
mse:0.5021173192972855, mae:0.44369949736771813
mse:0.47848026604394184, mae:0.43617376473377406
mse:0.5091557046106259, mae:0.45641778769320446

mse:0.1491890591111011, mae:0.24224867091488114
mse:0.1742163101354846, mae:0.2621633008816157
mse:0.18682294658811138, mae:0.26881378943601897
mse:0.22757244141541708, mae:0.2955101391987693
mse:0.2564838717472354, mae:0.31192395956531627
mse:0.32719418098071773, mae:0.35813847855099834
